MarketPrice,Total Value,USD Value,Price Error,Traded?
6411.99,1000.0,766.6758580681017,-8.735319832519053,Y
6415.89,1000.1418132411777,832.6227658100781,-11.569334974811682,Y
6414.14,1000.0687051715556,864.1641732312104,-13.187385838141381,Y
6417.12,1000.0841871571674,855.8705698070997,-12.737424491593629,Y
6409.99,999.9713341004102,684.1246720996031,-5.75183263726376,Y
6406.05,999.8398180219986,638.7944261408882,-4.267268360460548,Y
6406.04,999.8392544213525,674.8905063737727,-5.44511325689291,Y
6406.18,1000.0391123784223,821.5415953143486,-11.053594191306729,Y
6407.21,1000.0678116098794,884.3186035879204,-14.358577848770437,Y
6408.56,1000.1350151280787,844.7985064684494,-12.166784760571318,Y
6408.56,1000.1699191583866,860.1152060279371,-12.962165237496265,Y
6410.0,1000.2026294800617,852.0870947026672,-12.537167224816585,Y
6412.08,1000.2253301642832,898.879391183126,-15.287053424383885,Y
6413.61,1000.249196424196,925.547177761508,-17.301259264745568,Y
6415.33,1000.2693758189062,919.2697931821235,-16.782325127959666,Y
6418.11,1000.3044759368627,919.2697931821235,-16.828568270278083,N
6421.68,1000.3543187485492,941.1458850618228,-18.738336937215536,Y
6422.97,1000.3657253708097,937.0806834663563,-18.33476854491073,Y
6426.0,1000.4046444246934,938.8336079774999,-18.503078063584326,Y
6424.74,1000.3567366776912,864.9447291846694,-13.216666738365348,Y
6420.33,1000.2570441149662,321.98351474895037,5.548682093821299,Y
MarketPrice,Total Value,USD Value,Price Error,Traded?
6418.86,1000.0,456.2303501105969,1.3192233977106298,Y
MarketPrice,Total Value,USD Value,Price Error,Traded?
6512.42,1000.0,332.2672460242942,5.203934299571301,Y
6512.32,1000.0552851156268,372.3329610825166,3.9080477215902647,Y
6514.99,1000.2381867769957,437.1985569225608,1.8989410593885623,Y
6512.21,1000.0104507476735,482.49852917090266,0.5288346607267158,Y
6511.15,999.7326801868912,406.6808614464775,2.8310292408441455,Y
6510.0,999.7308582206953,447.0296112173577,1.5943835124053294,Y
6509.69,999.7045391136951,472.66577847043254,0.818633342535577,Y
6506.87,999.4762257370191,432.1446678181635,2.0440874783034815,Y
6506.0,999.4008720177877,428.67584541130464,2.148019135780487,Y
6505.07,999.3192897437724,462.2312898490967,1.128254651572206,Y
6505.12,999.4680702279898,542.9294261499056,-1.3049078233470937,Y
6508.63,999.5625774394737,565.3491094829217,-1.9847368175787778,Y
6505.07,999.3891223472826,562.2236634532625,-1.8897785077997469,Y
6505.01,999.3850901189539,544.6122477673746,-1.3548683974004234,Y
6505.55,999.422879394557,568.8423783118446,-2.0911520181171,Y
6505.56,999.4235412609651,577.3076463343928,-2.350335497460037,Y
6506.41,999.4785757919703,596.5117161213831,-2.9416306959283247,Y
6506.08,999.4581376296517,594.1903355221339,-2.870020238988218,Y
6505.2,999.4021875680527,583.495124804984,-2.5400594035572794,Y
6501.0,998.9875712749815,459.57465156761816,1.2051266745766043,Y
6493.23,998.4249229720378,343.8298528433312,4.80671297738445,Y
6490.26,998.0993004272466,339.1757081115993,4.955400544442455,Y
6491.99,998.3007764012907,407.2655188011705,2.7912998899064405,Y
6494.91,998.5668573079827,564.4997748709508,-1.9733395962784925,Y
6505.86,999.257230686763,715.9436247536848,-6.868846380063587,Y
6506.01,999.187554768515,591.0715097209047,-2.778472907349169,Y
6507.99,999.3305114608127,550.1437733353994,-1.5271376334376328,Y
6505.2,999.1379434022615,501.1962382163229,-0.048989795029228844,Y
6507.18,999.2894916351264,493.89282112319285,0.17315582454830292,Y
6507.68,999.1978439365528,414.4129222550852,2.5842496207760632,Y
6505.16,999.0828221930508,377.94305764493043,3.7196989591766396,Y
6496.66,998.2788455318318,152.4015891699076,12.300877222099189,Y
6495.09,998.0744286018266,149.884877248936,12.428246389979904,Y
6491.39,997.5912480238815,120.72781512368414,14.038876703899405,Y
6490.0,997.4034854380977,137.25989434377487,13.09304846275063,Y
6492.75,997.7679530614428,181.32332677539347,10.905549948540283,Y
6490.93,997.5552868016428,437.7075430811554,1.849223231150063,Y
6491.49,997.6035872357074,478.1907446208748,0.6217381903543355,Y
6494.05,997.8093926437837,583.0142245149901,-2.5546283304920507,Y
6494.13,997.8182461088991,541.101535076094,-1.2749648017588697,Y
6495.72,997.9300670257182,594.5018713314935,-2.907874436677048,Y
6496.32,997.9673310884266,610.3865619860455,-3.4028327351006737,Y
6495.28,997.905283036627,536.5997310631296,-1.1364807962299892,Y
6490.17,997.8534372266018,359.1734949639209,4.3032330857295165,Y
6490.09,997.8455646446231,340.24085833235074,4.917628303674064,Y
6470.0,996.2443659435909,77.11974651638752,17.070563710046372,Y
6483.52,998.9900168014251,277.4572687569341,7.071446975935942,Y
6486.64,998.9666577315385,395.9360457028296,3.1538105259560325,Y
6489.98,999.2771608956073,474.0450932017708,0.7709271560806883,Y
6487.37,999.0659344054361,511.8084059310573,-0.3696432064070905,Y
6484.01,998.7991227784509,437.4511749638747,1.874655311040442,Y
6481.91,998.6181827103552,431.46213746225,2.0536091217554713,Y
6485.99,998.9751757362707,536.457449881012,-1.1147785924649725,Y
6486.0,998.815440721891,494.90435280644795,0.13562275828644488,Y
6482.53,998.5459181056904,450.14973944557863,1.483514230131732,Y
6485.0,998.7176480078551,531.3802039074876,-0.9654656668753887,Y
6488.7,998.9842861795083,659.8560804925678,-4.96682158951171,Y
6494.6,999.2591970802918,727.8861716955638,-7.296706677891052,Y
6492.57,999.0281292962284,639.8039011472033,-4.315182495914996,Y
6491.91,998.9822066324198,691.3435207954903,-6.019962148710874,Y
